base_station.station_num,base_station.zipcode,base_station.city,base_station.state,base_station.latitute,base_station.longitude
76,90095,Los Angeles,CA,33.7865982056,-118.298698425
77,90223,Compton,CA,33.7865982056,-118.298698425
78,90232,Culver City,CA,34.0167999268,-118.39730072
79,90250,Hawthorne,CA,33.7865982056,-118.298698425
80,90290,Topanga,CA,34.1076011658,-118.602302551
81,90312,Inglewood,CA,33.7865982056,-118.298698425
82,90510,Torrance,CA,33.7865982056,-118.298698425
83,90601,Whittier,CA,34.0010986328,-118.037101746
84,90605,Whittier,CA,33.9412994385,-118.035598755
85,90608,Whittier,CA,33.7865982056,-118.298698425
86,90650,Norwalk,CA,33.9056015015,-118.081802368
87,90659,Norwalk,CA,33.7865982056,-118.298698425
88,90671,Santa Fe Springs,CA,33.7865982056,-118.298698425
89,90815,Long Beach,CA,33.7938995361,-118.11920166
90,90833,Long Beach,CA,33.7677993774,-118.199401855
91,91185,Pasadena,CA,33.7865982056,-118.298698425
92,91204,Glendale,CA,34.1379013062,-118.259902954
93,91208,Glendale,CA,34.1921005249,-118.23500061
94,91301,Agoura Hills,CA,33.7865982056,-118.298698425
95,91311,Chatsworth,CA,34.2583007812,-118.591400146
96,91330,Northridge,CA,33.7865982056,-118.298698425
97,91351,Canyon Country,CA,34.4262008667,-118.448997498
98,91352,Sun Valley,CA,34.2209014893,-118.369903564
99,91355,Valencia,CA,34.3984985352,-118.553497314
100,91504,Burbank,CA,34.2000999451,-118.326400757
101,91506,Burbank,CA,34.1716995239,-118.323097229
102,91801,Alhambra,CA,34.0914001465,-118.129302979
103,94979,San Anselmo,CA,38.0680007935,-122.740997314
104,95338,Mariposa,CA,37.4930992126,-119.921897888
105,95494,Yorkville,CA,38.923500061,-123.297302246
106,95303,Ballico,CA,37.4547996521,-120.693099976
107,96104,Cedarville,CA,41.4758987427,-120.151603699
108,93930,King City,CA,36.2028007507,-121.127296448
109,95004,Aromas,CA,36.8768997192,-121.632400513
110,95712,Chicago Park,CA,39.1430015564,-120.966598511
111,90621,Buena Park,CA,33.8772010803,-117.989303589
112,92606,Irvine,CA,33.695098877,-117.822402954
113,92620,Irvine,CA,33.7009010315,-117.756401062
114,92708,Fountain Valley,CA,33.7102012634,-117.950302124
115,92710,Irvine,CA,33.7074012756,-117.840301514
116,92817,Anaheim,CA,33.8512001038,-117.791496277
117,92821,Brea,CA,33.9291000366,-117.884498596
118,95650,Loomis,CA,38.8070983887,-121.169799805
119,95663,Penryn,CA,38.8567008972,-121.179100037
120,95701,Alta,CA,39.2440986633,-120.753097534
121,95915,Belden,CA,39.9323997498,-121.314399719
122,92230,Cabazon,CA,33.9085998535,-116.773902893
123,92264,Palm Springs,CA,33.8017997742,-116.516998291
124,92549,Idyllwild,CA,33.7304000854,-116.710700989
125,92582,San Jacinto,CA,33.7882995605,-116.981903076
126,94237,Sacramento,CA,38.3773994446,-121.444396973
127,94261,Sacramento,CA,38.3773994446,-121.444396973
128,95615,Courtland,CA,38.3137016296,-121.56300354
129,95641,Isleton,CA,38.1570014954,-121.6065979
130,95660,North Highlands,CA,38.6707000732,-121.378097534
131,95821,Sacramento,CA,38.6239013672,-121.38369751
132,95842,Sacramento,CA,38.6865005493,-121.349403381
133,91786,Upland,CA,34.1143989563,-117.658302307
134,92285,Landers,CA,34.3102989197,-116.524101257
135,92307,Apple Valley,CA,34.5290985107,-117.21320343
136,92334,Fontana,CA,34.8400001526,-115.967102051
137,92335,Fontana,CA,34.0793991089,-117.455101013
138,92363,Needles,CA,34.7823982239,-114.587097168
139,92413,San Bernardino,CA,34.8400001526,-115.967102051
140,91901,Alpine,CA,32.8282012939,-116.754302979
141,92019,El Cajon,CA,32.7776985168,-116.9190979
142,92022,El Cajon,CA,33.0168991089,-116.846000671
143,92104,San Diego,CA,32.7453994751,-117.127197266
144,92106,San Diego,CA,32.7271995544,-117.226799011
145,92110,San Diego,CA,32.7635002136,-117.202796936
146,92112,San Diego,CA,33.0168991089,-116.846000671
147,92127,San Diego,CA,33.0279006958,-117.085601807
148,92136,San Diego,CA,32.6833992004,-117.121902466
149,92138,San Diego,CA,33.0168991089,-116.846000671
150,92152,San Diego,CA,33.0168991089,-116.846000671
151,92155,San Diego,CA,32.6716003418,-117.16570282
152,92162,San Diego,CA,33.0168991089,-116.846000671
153,92163,San Diego,CA,33.0168991089,-116.846000671
154,92167,San Diego,CA,33.0168991089,-116.846000671
155,92169,San Diego,CA,33.0168991089,-116.846000671
156,92172,San Diego,CA,33.0168991089,-116.846000671
157,92182,San Diego,CA,32.775100708,-117.076202393
158,92193,San Diego,CA,33.0168991089,-116.846000671
159,92194,San Diego,CA,33.0168991089,-116.846000671
160,92199,San Diego,CA,32.7515983582,-117.191802979
161,94105,San Francisco,CA,37.7863998413,-122.389198303
162,94109,San Francisco,CA,37.7916984558,-122.41860199
163,94110,San Francisco,CA,37.7509002686,-122.415298462
164,94116,San Francisco,CA,37.7440986633,-122.486297607
165,94120,San Francisco,CA,37.7848014832,-122.727798462
166,94122,San Francisco,CA,37.7593002319,-122.483596802
167,94130,San Francisco,CA,37.8231010437,-122.369300842
168,94137,San Francisco,CA,37.7848014832,-122.727798462
169,94138,San Francisco,CA,37.7848014832,-122.727798462
170,94140,San Francisco,CA,37.7848014832,-122.727798462
171,94142,San Francisco,CA,37.7848014832,-122.727798462
172,94145,San Francisco,CA,37.7848014832,-122.727798462
173,94150,San Francisco,CA,37.7848014832,-122.727798462
174,94160,San Francisco,CA,37.7848014832,-122.727798462
175,94163,San Francisco,CA,37.7848014832,-122.727798462
176,95204,Stockton,CA,37.9743003845,-121.31539917
177,95209,Stockton,CA,38.0377006531,-121.344497681
178,95242,Lodi,CA,38.1307983398,-121.334503174
179,95304,Tracy,CA,37.7318992615,-121.409599304
180,93449,Pismo Beach,CA,35.3917007446,-120.549201965
181,94012,Burlingame,CA,37.3810997009,-122.33480072
182,94059,Redwood City,CA,37.3810997009,-122.33480072
183,94061,Redwood City,CA,37.4646987915,-122.230400085
184,94074,San Gregorio,CA,37.3255004883,-122.35559845
185,94403,San Mateo,CA,37.5395011902,-122.299797058
186,94409,San Mateo,CA,37.3810997009,-122.33480072
187,93160,Santa Barbara,CA,34.2627983093,-119.848602295
188,93190,Santa Barbara,CA,34.2627983093,-119.848602295
189,94040,Mountain View,CA,37.3855018616,-122.087997437
190,94088,Sunnyvale,CA,37.1893997192,-121.705299377
191,95103,San Jose,CA,37.3377990723,-121.890800476
192,95108,San Jose,CA,37.3377990723,-121.890800476
193,95111,San Jose,CA,37.282699585,-121.826499939
194,95113,San Jose,CA,37.332901001,-121.891601562
195,95116,San Jose,CA,37.3517990112,-121.850799561
196,95134,San Jose,CA,37.4086990356,-121.940597534
197,95141,San Jose,CA,37.170501709,-121.755599976
198,95156,San Jose,CA,37.3576011658,-121.841598511
199,95157,San Jose,CA,37.3008003235,-121.97769928
200,95161,San Jose,CA,37.3894004822,-121.886802673
201,95170,San Jose,CA,37.3102989197,-122.009300232
202,95190,San Jose,CA,37.3894004822,-121.886802673
203,95191,San Jose,CA,37.3261985779,-121.915802002
204,95194,San Jose,CA,37.3894004822,-121.886802673
205,95196,San Jose,CA,37.3338012695,-121.889396667
206,95007,Brookdale,CA,37.106300354,-122.105003357
207,96001,Redding,CA,40.5605010986,-122.411598206
208,96084,Round Mountain,CA,40.7629013062,-122.171096802
209,96014,Callahan,CA,41.3833007812,-122.763999939
210,96039,Happy Camp,CA,41.8017997742,-123.388000488
211,94975,Petaluma,CA,38.4631004333,-122.989997864
212,95404,Santa Rosa,CA,38.4533996582,-122.687797546
213,95431,Eldridge,CA,38.3348007202,-122.505500793
214,95487,Vineburg,CA,38.2724990845,-122.4375
215,95351,Modesto,CA,37.6236000061,-120.99659729
216,96074,Paskenta,CA,39.8772010803,-122.58139801
217,93256,Pixley,CA,35.9552993774,-119.256401062
218,95321,Groveland,CA,37.8297996521,-120.10369873
219,93003,Ventura,CA,34.2304000854,-119.221298218
220,93010,Camarillo,CA,34.231300354,-119.046401978
221,95962,Oregon House,CA,39.3097991943,-121.21559906
222,90899,Long Beach,CA,33.7986984253,-118.163398743
223,91199,Pasadena,CA,34.1478004456,-118.143600464
224,91461,Los Angeles,CA,34.2010993958,-118.474197388
225,92181,National City,CA,32.7150993347,-117.156303406
226,92601,Atwood,CA,33.865398407,-117.830001831
227,92634,Fullerton,CA,33.8739013672,-117.902801514
228,92667,Orange,CA,33.8106994629,-117.82900238
229,92715,Irvine,CA,33.6506004333,-117.818496704
230,94582,San Ramon,CA,37.6724014282,-121.889099121
231,94622,Oakland,CA,37.7989997864,-122.233703613
232,83705,Boise,ID,43.5850982666,-116.219100952
233,83708,Boise,ID,43.4598999023,-116.244003296
234,83722,Boise,ID,43.4598999023,-116.244003296
235,83725,Boise,ID,43.4598999023,-116.244003296
236,83731,Boise,ID,43.4598999023,-116.244003296
237,83870,Tensed,ID,47.1707000732,-116.902702332
238,83203,Fort Hall,ID,43.0331001282,-112.428497314
239,83804,Blanchard,ID,48.0223007202,-116.990898132
240,83825,Dover,ID,48.3688011169,-116.545501709
241,83856,Priest River,ID,48.1664009094,-116.906600952
242,83415,Idaho Falls,ID,43.323299408,-111.782203674
243,83644,Middleton,ID,43.7191009521,-116.611198425
244,83278,Stanley,ID,44.3713989258,-114.85610199
245,83522,Cottonwood,ID,46.0447998047,-116.373298645
246,83539,Kooskia,ID,46.1160011292,-115.945899963
247,83547,Pollock,ID,45.3068008423,-116.351699829
248,83816,Coeur D Alene,ID,47.6787986755,-116.682701111
249,83858,Rathdrum,ID,47.8241004944,-116.887298584
250,83467,Salmon,ID,45.1571006775,-113.87840271
251,83452,Tetonia,ID,43.7813987732,-111.211799622
252,83334,Hansen,ID,42.5248985291,-114.29940033
253,83638,Mc Call,ID,44.8917999268,-116.078903198
254,89116,Las Vegas,NV,35.927898407,-114.972099304
255,89139,Las Vegas,NV,36.0129013062,-115.211799622
256,89142,Las Vegas,NV,36.1479988098,-115.040397644
257,89153,Las Vegas,NV,35.927898407,-114.972099304
258,89173,Las Vegas,NV,35.927898407,-114.972099304
259,89185,Las Vegas,NV,35.927898407,-114.972099304
260,89705,Carson City,NV,39.0554008484,-119.805900574
261,89414,Golconda,NV,40.9682998657,-117.334899902
262,89043,Pioche,NV,37.8981018066,-114.39679718
263,89505,Reno,NV,39.5223999023,-119.835296631
264,89570,Reno,NV,40.5411987305,-119.586898804
265,89318,Mc Gill,NV,39.4034004211,-114.779098511
266,89002,Henderson,NV,36.0008010864,-114.95880127
267,89157,Las Vegas,NV,36.1694984436,-115.193000793
268,97814,Baker City,OR,44.7541999817,-117.742698669
269,97819,Bridgeport,OR,44.4930992126,-117.76550293
270,97331,Corvallis,OR,44.5638008118,-123.277900696
271,97028,Government Camp,OR,45.2971992493,-121.738998413
272,97038,Molalla,OR,45.1222991943,-122.57559967
273,97045,Oregon City,OR,45.3376998901,-122.569999695
274,97268,Portland,OR,45.1733016968,-122.259902954
275,97432,Dillard,OR,43.1134986877,-123.41809845
276,97494,Wilbur,OR,43.3283996582,-123.333198547
277,97817,Bates,OR,44.4777984619,-118.947799683
278,97856,Long Creek,OR,44.7554016113,-119.097000122
279,97522,Butte Falls,OR,42.5491981506,-122.563796997
280,97541,Trail,OR,42.6864013672,-122.816001892
281,97448,Junction City,OR,44.1987991333,-123.230003357
282,97348,Halsey,OR,44.3861999512,-123.125099182
283,97917,Riverside,OR,43.5098991394,-118.098602295
284,97373,Saint Benedict,OR,44.984500885,-122.457000732
285,97010,Bridal Veil,OR,45.5830001831,-122.101097107
286,97208,Portland,OR,45.5321998596,-122.564796448
287,97236,Portland,OR,45.4887008667,-122.509101868
288,97254,Portland,OR,45.596698761,-122.594200134
289,97293,Portland,OR,45.5806007385,-122.374801636
290,97108,Beaver,OR,45.2766990662,-123.823402405
291,97882,Umatilla,OR,45.8694992065,-118.95690155
292,97867,North Powder,OR,45.0317001343,-117.933700562
293,97119,Gaston,OR,45.4426994324,-123.166603088
294,97224,Portland,OR,45.4094009399,-122.801399231
295,97281,Portland,OR,45.5485992432,-123.114700317
296,84302,Brigham City,UT,41.507900238,-112.015197754
297,84311,Fielding,UT,41.8117980957,-112.119003296
298,84337,Tremonton,UT,41.7015991211,-112.181297302
299,84322,Logan,UT,41.6412010193,-111.896598816
300,84542,Wellington,UT,39.6147003174,-110.641296387
301,84011,Bountiful,UT,40.9635009766,-112.115997314
302,84052,Myton,UT,40.1940002441,-110.048103333
303,84053,Neola,UT,40.3207015991,-110.435997009
304,84521,Elmo,UT,39.403301239,-110.809997559
305,84648,Nephi,UT,39.6922988892,-111.835899353
306,84762,Duck Creek Village,UT,37.5168991089,-112.663597107
307,84038,Laketown,UT,41.8106994629,-111.26889801
308,84101,Salt Lake City,UT,40.7559013367,-111.896697998
309,84102,Salt Lake City,UT,40.7599983215,-111.862701416
310,84105,Salt Lake City,UT,40.7372016907,-111.858100891
311,84106,Salt Lake City,UT,40.7056007385,-111.854797363
312,84114,Salt Lake City,UT,40.6680984497,-111.908302307
313,84118,Salt Lake City,UT,40.6503982544,-112.005401611
314,84120,Salt Lake City,UT,40.6949996948,-112.000099182
315,84121,Salt Lake City,UT,40.6226005554,-111.777702332
316,84126,Salt Lake City,UT,40.6680984497,-111.908302307
317,84136,Salt Lake City,UT,40.7685012817,-111.887901306
318,84152,Salt Lake City,UT,40.7285995483,-111.662696838
319,84153,Salt Lake City,UT,40.6680984497,-111.908302307
320,84665,Sterling,UT,39.1334991455,-111.740898132
321,84744,Koosharem,UT,38.7220993042,-111.871299744
322,84036,Kamas,UT,40.6413993835,-111.261901855
323,84068,Park City,UT,40.6679992676,-111.505401611
324,84738,Ivins,UT,37.2182998657,-113.545799255
325,84715,Bicknell,UT,38.3278007507,-111.526397705
326,84193,Salt Lake City,UT,40.7439002991,-111.891799927
327,99344,Othello,WA,46.8526992798,-118.993202209
328,98604,Battle Ground,WA,45.7906990051,-122.531799316
329,98675,Yacolt,WA,45.8622016907,-122.427497864
330,98684,Vancouver,WA,45.6358985901,-122.51550293
331,98609,Carrolls,WA,46.0714988708,-122.8647995
332,99138,Inchelium,WA,48.2924003601,-118.355201721
333,98848,Quincy,WA,47.1976013184,-119.845901489
334,98547,Grayland,WA,46.8264007568,-124.09400177
335,98376,Quilcene,WA,47.8324012756,-122.858299255
336,98109,Seattle,WA,47.6338996887,-122.347602844
337,98112,Seattle,WA,47.6301002502,-122.297203064
338,98118,Seattle,WA,47.5411987305,-122.275001526
339,98125,Seattle,WA,47.716999054,-122.301498413
340,98136,Seattle,WA,47.5397987366,-122.387802124
341,98145,Seattle,WA,47.4323005676,-121.803398132
342,98148,Seattle,WA,47.4323005676,-121.803398132
343,98150,Seattle,WA,47.4323005676,-121.803398132
344,98168,Seattle,WA,47.4323005676,-121.803398132
345,98177,Seattle,WA,47.7467002869,-122.368598938
346,98181,Seattle,WA,47.4323005676,-121.803398132
347,98191,Seattle,WA,47.4323005676,-121.803398132
348,98199,Seattle,WA,47.6487998962,-122.396400452
349,98224,Baring,WA,47.7671012878,-121.481399536
350,98602,Appleton,WA,45.8503990173,-121.312896729
351,98336,Glenoma,WA,46.528301239,-122.098999023
352,98361,Packwood,WA,46.6500015259,-121.655296326
353,98572,Pe Ell,WA,46.582901001,-123.314697266
354,98591,Toledo,WA,46.4396018982,-122.826599121
355,98844,Oroville,WA,48.9397010803,-119.403198242
356,98577,Raymond,WA,46.6710014343,-123.692901611
357,98327,Dupont,WA,47.0909004211,-122.656700134
358,98387,Spanaway,WA,47.0732002258,-122.394302368
359,98409,Tacoma,WA,47.2038002014,-122.482498169
360,98447,Tacoma,WA,47.0662002563,-122.113197327
361,98493,Tacoma,WA,47.0662002563,-122.113197327
362,98232,Bow,WA,48.5620002747,-122.413398743
363,98651,Underwood,WA,45.7408981323,-121.597396851
364,98012,Bothell,WA,47.8400993347,-122.19719696
365,98201,Everett,WA,47.9883995056,-122.20059967
366,98293,Startup,WA,47.870300293,-121.768501282
367,99209,Spokane,WA,47.6460990906,-117.793701172
368,99216,Spokane,WA,47.6633987427,-117.219299316
369,99218,Spokane,WA,47.7555999756,-117.414596558
370,99040,Wellpinit,WA,47.8697013855,-117.985603333
371,98503,Lacey,WA,47.0239982605,-122.782699585
372,98516,Olympia,WA,47.1125984192,-122.779403687
373,98225,Bellingham,WA,48.7490005493,-122.488700867
374,99104,Belmont,WA,47.0792999268,-117.177001953
375,99113,Colton,WA,46.5900993347,-117.169197083
376,98944,Sunnyside,WA,46.3213005066,-120.01260376
377,98170,Seattle,WA,47.6096000671,-122.331703186
